2,wAcc_u1.0,0,1,2,3,4,6,7,10,11,14,15,17,23,29,32,34,35,43,44,45,62,69,89,92,95,111,114,130,145,156,157,186,188,202,212,220,318,350,378,412,425,570,582,615,636,640,678,692,703,719,781,804,808,907,908,983,1061,1216,1229,1349,1417,1531,1547,1591,1621,1728,1729,1837,1976,2150,2206,2223,2334,2578,2587,2664,2772,2896,3015,3398,3424,3582,4073,4153,4260,4459,4534,5721,5776,6186,6488,6679,7070,8159,8588,9035,9399,9505,9606,9675
2,wAcc_u2.0,0,1,2,3,4,6,7,10,11,13,17,18,22,28,33,35,36,43,45,46,60,68,92,93,94,112,115,128,148,151,160,186,195,208,218,222,319,343,390,399,448,578,602,637,638,654,655,662,686,714,767,813,865,881,997,1046,1060,1155,1297,1338,1418,1462,1560,1622,1749,1795,1850,1958,2071,2077,2146,2235,2332,2470,2591,2618,2619,2798,2828,3415,3453,3798,4055,4165,4228,4297,4658,5781,5815,5849,6015,6353,6889,7944,8607,9038,9427,9480,9602,9941
2,RI_u1.0_v1.0,0,1,2,3,4,5,6,8,11,13,15,17,20,22,24,25,26,31,33,34,46,49,59,79,82,105,110,112,114,122,132,151,153,166,179,182,247,294,314,360,368,413,435,440,446,557,573,576,589,592,599,667,679,691,704,729,794,892,1014,1021,1114,1157,1193,1203,1244,1301,1377,1562,1761,1813,1880,2068,2073,2139,2252,2280,2454,2462,2623,2779,2935,3113,3413,3793,3943,4031,4434,4435,4586,4784,5460,6467,6944,8136,8657,9076,9522,9523,9585,9866
2,RI_norm,0,1,2,3,4,5,7,8,9,13,14,16,19,23,24,26,27,29,34,36,48,50,77,78,80,91,104,118,133,139,141,143,160,165,170,192,253,333,337,357,374,388,390,454,460,462,483,508,563,645,655,659,667,733,734,841,854,962,980,1057,1078,1217,1237,1270,1316,1449,1465,1616,1707,1833,1888,1965,2038,2197,2334,2411,2462,2608,2637,2850,3179,3214,3351,3719,4144,4337,4520,4545,4587,4897,5687,6640,6978,8278,8654,9094,9521,9549,9581,9912
3,projections,101,133,179,191,233,561,574,811,855,1018,1027,1120,1232,1247,1405,1406,1407,1591,1601,1605,1847,1978,1999,2000,2003,2020,2462,2471,2486,2488,2490,2796,2802,2803,3127,3137,3641,3645,3657,3658,3659,3795,3871,3960,4194,4406,4775,4810,4844,4984,4992,5108,5141,5313,5597,5601,5602,5613,5615,5983,6184,6314,6538,6565,6721,6804,6806,6884,6886,6903,6931,6970,7094,7095,7099,7127,7382,7680,7686,7725,7792,7970,8111,8172,8174,8204,8208,8454,8529,8836,8860,8945,9151,9388,9631,9754,9841,9917,9928,9974
3,freq,0,3,5,9,10,12,13,16,17,18,24,50,59,62,84,106,109,117,124,136,149,150,152,183,205,210,289,290,297,318,320,324,327,345,363,391,423,429,439,444,466,475,476,477,506,507,509,529,536,577,580,582,590,602,788,833,866,878,886,894,950,980,1023,1027,1458,1460,1462,1463,1464,1469,1478,2500,2501,2502,2512,2513,2517,2518,2521,2523,2525,7177,7178,7180,7189,7190,7191,7192,7193,7194,7195,7196,7197,7198,7199,7200,7201,7202,7203,7204
3,crudeRI,0,3,5,8,9,12,13,14,16,23,32,46,50,56,65,71,80,82,96,100,125,133,173,194,211,265,279,281,302,307,310,322,323,325,382,391,426,469,480,507,521,534,547,561,571,642,692,701,713,721,722,758,794,805,816,949,969,1029,1047,1055,1175,1230,1248,1266,1307,1512,1611,1743,1756,1817,1821,1823,2096,2106,2230,2232,2233,2234,3234,3236,3237,3301,3547,3970,4006,4415,4508,4569,5000,5120,5503,5541,5559,6555,6721,6830,6889,6912,6917,8864
3,wAcc_u1.0,0,3,5,8,10,12,13,14,16,24,31,46,47,52,67,70,79,83,97,98,133,139,173,196,217,263,275,306,310,312,322,323,324,329,373,376,398,512,519,534,544,548,561,565,615,636,639,661,690,697,766,780,835,837,883,934,958,1019,1096,1128,1251,1307,1314,1359,1363,1420,1526,1610,1731,1931,1955,1980,2028,2110,2131,2190,2285,2301,2924,2942,2985,3235,3702,3961,3971,4512,4537,4779,4839,4885,5242,5346,5817,6339,6413,6925,7033,7497,7911,8935
3,wAcc_u2.0,0,2,5,8,11,12,14,15,16,24,34,45,49,51,68,70,75,85,97,100,134,147,170,197,241,267,278,304,313,319,323,324,335,356,367,371,403,482,539,558,563,568,575,582,604,605,608,707,716,729,787,814,833,893,919,930,939,993,1110,1218,1251,1357,1399,1417,1452,1473,1487,1525,1765,1887,1892,2033,2034,2128,2149,2337,2364,2387,2609,2817,2868,3392,4006,4140,4172,4689,4751,4788,4906,4913,4921,5202,6006,6282,6303,6791,7285,7541,8501,8950
3,RI_u1.0_v1.0,0,2,5,6,7,9,12,13,16,24,32,35,46,59,61,71,74,87,96,97,102,108,112,134,155,161,205,209,210,219,222,229,232,239,283,318,350,379,384,390,417,421,433,442,448,469,481,493,513,523,524,542,581,615,645,675,833,867,915,1026,1102,1143,1150,1164,1172,1239,1298,1354,1374,1419,1437,1583,1692,1806,1853,1873,1951,1978,2387,2399,2641,2875,3377,3545,3603,3842,3856,3859,4322,4481,4824,4881,5099,5602,5611,6474,6531,6810,8276,8732
